gse	truth	claude_pred	gpt4o_pred	claude_tp	claude_fp	claude_fn	claude_match	gpt4o_match	input_tokens	output_tokens	cache_read	error
GSE161826	http://www.ebi.ac.uk/efo/EFO_0000606	http://www.ebi.ac.uk/efo/EFO_0000606	http://www.ebi.ac.uk/efo/EFO_0000606	1	0	0	True	True	19265	107	0	
GSE20402	http://www.ebi.ac.uk/efo/EFO_0007728	http://www.ebi.ac.uk/efo/EFO_0007728	http://www.ebi.ac.uk/efo/EFO_0007728	1	0	0	True	True	4329	129	22723	
GSE27282	http://www.ebi.ac.uk/efo/EFO_0000606,http://www.ebi.ac.uk/efo/EFO_0005184	http://www.ebi.ac.uk/efo/EFO_0000606,http://www.ebi.ac.uk/efo/EFO_0005184	http://www.ebi.ac.uk/efo/EFO_0000606,http://www.ebi.ac.uk/efo/EFO_0005184	2	0	0	True	True	10941	179	22723	
GSE17869	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0022397	1	0	0	True	True	2966	144	22723	
GSE262291	http://www.ebi.ac.uk/efo/EFO_0020093	http://www.ebi.ac.uk/efo/EFO_0020093	http://www.ebi.ac.uk/efo/EFO_0020093	1	0	0	True	True	16594	155	0	
GSE99114	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0022397	1	0	0	True	True	3485	107	0	
GSE137534	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0022397	1	0	0	True	True	3003	105	22723	
GSE80465	http://www.ebi.ac.uk/efo/EFO_0000606	http://gemma.msl.ubc.ca/ont/TGEMO_00193,http://www.ebi.ac.uk/efo/EFO_0022397	http://gemma.msl.ubc.ca/ont/TGEMO_00193,http://www.ebi.ac.uk/efo/EFO_0022397	0	2	1	False	False	7474	179	22723	
GSE46952	http://www.ebi.ac.uk/efo/EFO_0022472	http://www.ebi.ac.uk/efo/EFO_0022472		1	0	0	True	False	6298	127	22723	
GSE422	http://www.ebi.ac.uk/efo/EFO_0000606	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0005181	0	1	1	False	False	1855	120	22723	
GSE106	http://www.ebi.ac.uk/efo/EFO_0000597	http://www.ebi.ac.uk/efo/EFO_0001332	http://www.ebi.ac.uk/efo/EFO_0001332	0	1	1	False	False	1040	126	22723	
GSE57272	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0022397	1	0	0	True	True	4945	146	22723	
GSE33263	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0022397	1	0	0	True	True	24728	135	22723	
GSE15324	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0022397	1	0	0	True	True	8634	192	22723	
